,emotion,selection0,selection1,label
238,"['ready', 'expectant', 'exuberant']",She reached into her pocket to find her glasses to help her see.,There were so many customers that everyone knew it was a success.,0
239,"['relaxed', 'relieved', 'satisfied', 'dutiful', 'delighted']",The only nearby restaurant was closed.,The air in my house is now cleaner.,1
240,"['happy', 'reminiscent', 'observant', 'friendly']",It was a child-sized police officer uniform.,They stopped at the door and chatted for awhile.,1
241,"['anxious', 'confident', 'happy', 'content', 'excited', 'satisfied', 'focused']",A V P. of the company came out to stake out the dimensions of the pool.,They wanted Kelly to go to college at home.,0
242,"['satisfied', 'relieved', 'proud', 'grateful', 'professional', 'prompt']",Dave was able to get back on the road in no time!,I decided to join a charity to help the less fortunate.,0
243,"['friendly', 'happy', 'excited']",John's buddy came in and shook John's hand.,Several people had to help her gain consciousness.,0
244,['proud'],Her blog started to become popular.,They were pumped up and ready to go!,0
245,"['glad', 'happy', 'delighted']",Charles gets off work on friday.,She wakes up every morning and drinks one cup.,0
246,['scared'],She had to sleep with the light on!,A customer asked him to stop by her restaurant.,0
247,"['afraid', 'superior', 'frustrated', 'defeated']",The squirrel is too fast for them.,They got to the counter and ordered.,0
248,"['sad', 'disappointed']","Then, she realized that she was out of butter and eggs.","When the teacher asked for the homework, I searched by book bag.",0
249,"['ashamed', 'sad', 'scared', 'embarrassed', 'powerful', 'pity', 'afraid']",I said I didn't have any money but I was hungry.,And he ended up calling a cab.,0
250,"['guilty', 'irresponsible']",Tom didn't back off and got punched in the eye.,Fred would often leave his house without a note.,1
251,"['happy', 'excited', 'content', 'rejuvenated']",The scout spoke up and tried to get the general's attention.,They started riding every day.,1
252,"['embarrassed', 'excited', 'worried', 'disappointed']","Jim orders a pair, the owner works hard but realizes he messed up.",John had an exciting day playing golf.,0
253,"['hungry', 'mean', 'confident', 'scared', 'terrified', 'alarmed']",He decided it was time for a vacation.,The entire beach was alerted of the shark.,1
254,"['bad', 'upset', 'worried']","They said she had an ear infection, and prescribed antibiotics.",Jake was excited for the upcoming wrestling match.,0
255,"['diligent', 'proud']",So he worked extra hard and did school even during his summers.,"One evening, in Florida, he purchased candy from a Seven Eleven store.",0
256,"['sad', 'depressed', 'disappointed', 'horrible', 'upset']",He stayed up all night trying to fix it but knew it was useless.,Everything snapped and he could tell it was ruined.,0
257,"['excited', 'happy', 'satisfied']",It was based off a cartoon he watched.,Lynsey is now poor and wishes she had studied more.,0
258,"['mistaken', 'happy']",Jane and her husband were able to go out and have fun.,I packed it in a shoulder bag with a book.,1
259,"['sentimental', 'protective']",It could be considered his favorite bag.,He was rejected each time.,0
260,"['relieved', 'excited', 'hopeful']","Tom yanked up the old shag rug, piece by piece.",He went to the store and bought a huge one.,1
261,"['anxious', 'annoyed']",Jim suspected that the bread man was late so he checked his watch.,They hit five different clubs and had a lot of drinks.,0
262,"['tired', 'refreshed', 'bored']",She asked them to try it again but it wouldn't go through.,She decided to wash her hair.,1
263,"['thankful', 'intrigued', 'excited', 'appreciated']","When the baby was born, Susan got to meet her.",She accidentally walked through poison ivy.,0
264,"['mean', 'superior', 'happy', 'embarrassed', 'unimpressed', 'unhappy', 'upset']",They were able to give him a replacement.,All of the cheerleaders laughed at her.,1
265,"['sorry', 'sad', 'neglected', 'exhausted', 'tired', 'conflicted']",Jin returned to China with new friends and new goals.,But she was kept so busy she didn't have much time for her family.,1
266,"['determined', 'tired', 'confident']",John worked as many hours as he could.,Tay knew he could win the race.,0
267,"['excited', 'happy']","When the rainy stopped, there was her rainbow!",She made sure to keep her feet under the table.,0
268,"['afraid', 'ignored', 'putty', 'daring', 'defiant']",He insisted I see a doctor and drove me to the hospital.,"Mark didn't listen, and went down the big hill.",1
269,"['satisfied', 'lovable', 'happy']","Out in the water, he relaxed on the waves.",She finished her garden and loved it.,1
270,"['slow', 'focused', 'anticipation', 'trust', 'determined', 'happy', 'satisfied']",He passed some people while others passed him.,They felt very privileged to be alive when they saw the destruction.,0
271,"['hopeful', 'compassion', 'anticipation', 'sad']",He took out his water bottle.,The light was supposed to make him feel better.,1
272,"['overwhelmed', 'sad', 'disappointed']",After he gave his report the general told him to leave.,She wanted to use pay-per-click ads to make money on it.,0
273,"['optimism', 'excitement', 'jittery']",John converted and now his life had meaning.,My kids wanted to go play outside.,1
274,"['irritated', 'anxious', 'frantic', 'scared', 'hurried']",She fell in love with him.,"Suddenly, he realized he was late.",1
275,"['upset', 'welcome', 'embarrassed', 'annoyed', 'surprise', 'anger', 'fear']",He filled it with lots of fish.,I closed the door quietly.,1
276,"['content', 'smart', 'enlightened']",They learned a lot about their history.,Gas got on his shoe.,0
277,"['angry', 'justified', 'annoyed', 'anxious']",He drove to work in the dark.,Jake asked his girlfriend to stop.,1
278,"['cocky', 'superior', 'carefree', 'annoyed', 'disappointed', 'proud']",Kenneth fell into a big depression.,He felt he was untouchable and started slacking at work more.,1
279,"['moral', 'ambivalent', 'smart', 'annoyed', 'mischievous']",He combined all of the remaining vegetables into a pasta sauce.,I didn't mind because I didn't want to be friends with drug users.,1
280,"['positive', 'responsible', 'determined']",I went to get the water hose.,They crawled to a box.,0
281,"['eager', 'hungry', 'impatient', 'annoyed', 'responsible', 'helpful']",I had to hit a target.,She called her husband.,1
282,"['happy', 'silly', 'awkward', 'embarrassed', 'lacking', 'inept', 'excited']",She made it where no one could tag her in photos anymore.,But they weren't very good dancers.,1
283,['confident'],She practiced for nine hours every day.,However to my surprise when I got it I never used it.,0
284,"['justified', 'inspired', 'absorbed', 'powerful']",The neighbors treated the squirrel as if it was a pet.,He was determined to solve the crime.,1
285,['sick'],His stomach felt bad.,Jerry was too quick for them and escaped with his suit.,0
286,"['optimistic', 'confident', 'anxious', 'hopeful']",She walked along the frozen creek calling the dog's name.,"She was shy, but approached Robert anyway about going",1
287,"['guilty', 'disappointed', 'upset', 'sick']",My friend missed class today.,Her boyfriend was upset he didn't propose to her first.,0
288,"['scared', 'nervous']",She had to pick her instrument on the first day.,The kids were gathered on the street.,0
289,"['guilty', 'regret', 'regretful', 'angry', 'mad', 'vengeful']",I thought it was people wanting to join our gaming group.,Her daughter did not speak to Martha on the car ride home.,1
290,"['excited', 'happy']",Her mother reminded her she should use her allowance money.,Ron is planning a trip out with the boys.,1
291,"['anticipation', 'anxious', 'together', 'eager', 'content']",Jasmine and her family walked into the shop.,He took test drives.,0
292,"['satisfied', 'happy', 'hasty', 'smug', 'OK', 'accepting']","I went to the manager, and was told I could move in right away.",Sara loves coffee.,0
293,"['embarrassed', 'angry', 'depressed', 'sad', 'mad', 'sadness', 'disappointment']",His girlfriend was embarrassed and rejected him.,They are actually friendly.,0
294,"['hurt', 'embarrassed', 'shy', 'upset', 'surprised', 'happy', 'excited']",He laughed at her and asked when dinner would be ready.,She decided to walk to the store to buy a new one.,0
295,"['inadequate', 'disadvantaged', 'frustrated']","At about 1:30 this morning, I felt him get out of bed.",Roger was blind though.,1
296,"['loved', 'delighted', 'kinship', 'happy']",Jenny is very happy she visited her sick grandmother.,May happened upon the binoculars and sat on the bench to investigate.,0
297,"['anxious', 'angry', 'positive']",I applied for a loan because my homeowner's taxes were due.,He cancelled practice and expected us to perform tomorrow.,0
298,"['worry', 'disappointed', 'concerned']",Her dad got her out and hurried to the hospital.,"Bob called the dog's name, but he kept running away and disappeared.",1
299,"['frustrated', 'anxious', 'jittery', 'mad', 'nervous']","However, he could not get his teacher's attention.",I sat up partway using lots of pillows.,0
300,"['embarrassed', 'sad', 'nervous']",Patty was nervous about marrying her fianc��.,She thought they would make fun of her.,1
301,"['foolish', 'sense']","But one night, she saw a stray cat in need of food and shelter.",It fell on the floor and broke.,1
302,"['eager', 'happy', 'athletic']","It turned out well, though, because school was cancelled.",Jill wanted to go skating.,1
303,"['annoyed', 'grateful', 'sad', 'primitive', 'scared', 'terrified']",Gale found the dog barking at the cat in a tree.,She laughed at the adults horrible dancing skills.,0
304,"['surprised', 'excited']",Fred found an old piano in his attic.,Jennifer is thrown from the horse.,0
305,"['worried', 'nauseous', 'debilitated']","We only go in the summertime, when you can enjoy the beach.","Shortly after taking a new medication, Adam began to feel unwell.",1
306,"['excited', 'surprised', 'loving', 'desire', 'generous']","I couldn't go outside, so I looked for something to do indoors.",Jennifer wished to purchase her mom and wonderful birthday gift.,1
307,"['happy', 'fulfilled', 'content']",Overall Ynez was satisfied with her work.,Kay was upset since the coupons would have saved her $5.,0
308,"['helpful', 'responsible', 'worried', 'relieved', 'relief', 'cool']","To cool off, his mom bought him at ice cream cone.",Jane's husband booked a cruise for their anniversary.,0
309,"['anxious', 'nervous']",Yesterday I took my dog to the vet for a checkup.,We used my horse trailer to move all the animals very quickly.,0
310,"['happy', 'excited', 'eager', 'elated']",When the day finally arrived John couldn't hold his excitement.,She decided to look for a second job.,0
311,"['happy', 'determined']",She went to a college to take a tour.,They were both excited because it was their first cruise.,0
312,"['joy', 'frustrated']",I gathered my resourced and headed out.,Her husband agreed and invited their friends.,0
313,"['inspired', 'excited', 'pumped', 'adventurous']",He decided to make her pretend tea.,They all wanted to wrestle.,1
